"","Job_Title","Company","Location","Links"
"139","Data Architect","UCB S.A.","Atlanta, GA","/rc/clk?jk=1a4986fad6b11308&fccid=33684b64e937e3af&vjs=3"
"140","Conversational AI and VUI Designer, Consultant - Applied Artificial Intelligence","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=d4064d376622600f&fccid=9e215d88a6b33622&vjs=3"
"141","Lead Specialist, Federal Data Scientist","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=5abd906d846842ab&fccid=2dd390c3a48a7ed0&vjs=3"
"142","Artificial Intelligence Manager/Group Manager, Advisory","Avanade","Atlanta, GA","/rc/clk?jk=48b87af4f412f7a2&fccid=5386281035076fdf&vjs=3"
"143","Sr IT Automation & Data Analyst","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=d9cc61fe67e833ee&fccid=50208b5bf45ee3b8&vjs=3"
"144","Data Scientist / Engineer - Machine Learning (Experienced) -- EOSL","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=6ef749112a495831&fccid=db25687464a9ecf6&vjs=3"
"145","Solution Architect - Data & Analytics","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=7eefd3333555ed24&fccid=9e215d88a6b33622&vjs=3"
"146","Robotic Researcher/Scientist - Machine Learning / Deep Learning","Shenzhen Dorabot","Atlanta, GA","/rc/clk?jk=ef6ec51792196447&fccid=8816cc399be28a12&vjs=3"
"147","ML Engineer","General Motors","Roswell, GA 30076","/rc/clk?jk=fa87184a83b84503&fccid=116680a29a847a70&vjs=3"
"148","Manager of Data Science","Calendly","Atlanta, GA","/rc/clk?jk=dfde29fa020ad451&fccid=88e1dcd0cd0bffc1&vjs=3"
"149","Machine Learning Engineer/Scientist - ATAS","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=f556ecf53a31c4e7&fccid=db25687464a9ecf6&vjs=3"
"150","Data Engineer","Verizon","Alpharetta, GA 30022","/rc/clk?jk=be20511805d91655&fccid=f7029f63fe5c906e&vjs=3"
"151","Senior Data Analyst","Feedzai","Atlanta, GA","/rc/clk?jk=abdd375fd38f4433&fccid=ad93a7e288dc7118&vjs=3"
